read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	3007020
2	2	1336698
3	3	672346
4	4	396238
5	5	246579
6	6	154830
7	7	105453
8	8	70552
9	9	49517
10	10	35313
11	11	26668
12	12	18839
13	13	14084
14	14	11014
15	15	8785
16	16	6853
17	17	5053
18	18	4098
19	19	3338
20	20	2838
21	21	2139
22	22	1775
23	23	1449
24	24	1171
25	25	994
26	26	827
27	27	671
28	28	530
29	29	485
30	30	395
31	31	303
32	32	313
33	33	313
34	34	230
35	35	186
36	36	183
37	37	145
38	38	133
39	39	101
40	40	108
41	41	99
42	42	88
43	43	62
44	44	45
45	45	62
46	46	47
47	47	29
48	48	31
49	49	37
50	50	35
51	51	18
52	52	20
53	53	25
54	54	20
55	55	17
56	56	18
57	57	12
58	58	4
59	59	10
60	60	2
61	61	7
62	62	5
63	63	12
64	64	9
65	65	8
66	66	6
67	67	9
68	68	4
69	69	5
70	70	4
71	71	6
72	72	3
73	73	4
74	74	4
75	75	5
76	76	3
78	78	3
79	79	1
80	80	1
83	83	1
84	84	1
85	85	1
86	86	1
87	87	1
89	89	2
90	90	3
91	91	1
93	93	1
95	95	1
97	97	1
100	100	1
103	103	1
109	109	3
119	119	2
124	124	1
131	131	1
132	132	1
