"sample","junctions_0","junction_1","junctions_2","junctions_3","junctions_4","junctions_5","junctions_6","junctions_7","junctions_8","junctions_9","junctions_10"
"DG-WT-hRGC_junction_per_read",0.47484292289875,0.11314550767185,0.0859738819736689,0.0845840904562072,0.0601123008051644,0.0505914338082245,0.0406082631453301,0.0289244810625566,0.0232390850996245,0.0205455625200995,0.0174324705585249
"EP1-BRN3B-RO_junction_per_read",0.436121975985752,0.128678939195682,0.0957084854131182,0.0911175827333069,0.0674455224331447,0.0557841193080412,0.0369992996469029,0.0289091045627841,0.0250568288588029,0.019753992780094,0.014424149082371
"EP1-WT_hRO_2_junction_per_read",0.466428469501066,0.114681894723136,0.100721751398554,0.0953763852120388,0.0661337646147332,0.0566662098760355,0.0308706656993584,0.0244513975045911,0.0185220830518632,0.0151997221292083,0.0109476562894159
"EP1-WT_ROs_D45_junction_per_read",0.3510487848545,0.106630027249721,0.0967202721771079,0.114627351409739,0.0891439675608838,0.0791409731064868,0.0484591680367211,0.0387683673207319,0.0292561823665532,0.0271238200379434,0.0190810858796121
"H9-BRN3B_hRO_2_junction_per_read",0.434641186293195,0.104104722767289,0.0920091489084369,0.102745259677046,0.0752101688984085,0.0651581565730404,0.0383506130391027,0.0310191415456265,0.0234115646617981,0.0195455754441466,0.0138044621919098
"H9-BRN3B-RO_junction_per_read",0.481757452608351,0.124847393147245,0.0935777812170805,0.085112237205378,0.060607511769904,0.0469039985222093,0.0317856404675011,0.0247189651471051,0.0222913144848452,0.0158914822340601,0.0125062231963215
"H9-CRX_hRO_2_junction_per_read",0.44893225040795,0.10978562593169,0.089451962261087,0.0984411294039697,0.0727124536933823,0.0616768914626279,0.0365886793826873,0.0295464241444385,0.0214945446397055,0.0184945252144761,0.0128755134579859
"H9-CRX_ROs_D45_junction_per_read",0.390337057377212,0.104933195286792,0.102946906644434,0.111243130160711,0.0819271879281781,0.0701634354473294,0.0430989825288494,0.0328564114425438,0.0251618191920977,0.0219418846330799,0.0153899893587727
"H9-FT_1_junction_per_read",0.43735997745133,0.115016781258399,0.0840267096301821,0.0905805799107506,0.0715107624822942,0.0635171059336727,0.0391293368092227,0.0323271441475547,0.0265835972148586,0.0230667626888135,0.0168812424729228
"H9-FT_2_junction_per_read",0.463449083568192,0.0931968832941011,0.0848729194077581,0.0918187897187185,0.0699610185116321,0.0642600241050954,0.0379613280937181,0.0323510761587041,0.0240148565824052,0.0226193028459895,0.0154947177136859
"H9-hRGC_1_junction_per_read",0.52284757687155,0.13328415790751,0.0842938492587043,0.0756627523553652,0.052458401056808,0.04111096047994,0.0295793715662927,0.0204358980054887,0.0157740593331339,0.013616804127414,0.0109361690377928
"H9-hRGC_2_junction_per_read",0.448377393369592,0.101582605663826,0.0829414324574833,0.0971463064479659,0.0692256749246152,0.0607121466581285,0.0426265963708292,0.0314229815261987,0.0248175899827569,0.0230334584136661,0.0181138141849382
"hRGC_junction_per_read",0.433099657103322,0.123381139796168,0.0889216980023472,0.0948402698246689,0.0672175010064187,0.0562567279278087,0.0424278098957735,0.0302226860459975,0.0241645228683336,0.021749231019345,0.0177187565098163
"YZ-15T_hRGC_junction_per_read",0.453551233842173,0.123241989815388,0.0889682276329438,0.0892348967571379,0.0644403033019367,0.0524435385507698,0.0386684904807693,0.0282943395530888,0.0229660051750128,0.0210434986472544,0.017147476243526
"YZ-3T_hRGC_junction_per_read",0.494467465908776,0.121402667015345,0.0853771671272145,0.0825994914796043,0.0574748846580927,0.0471352822613618,0.0349032950008489,0.0249358368093493,0.0198345708790822,0.01754824939342,0.0143210894669052
